     Steam Price	Steam Number
           $2.82	           0
           $2.82	           1
           £2.08	           2
           2,31€	           3
        CHF 2.48	           4
     208,12 pуб.	           5
         10,47zł	           6
        R$ 14,58	           7
        ¥ 291.79	           8
        24,01 kr	           9
    Rp 39 379.17	          10
         RM11.35	          11
         P136.12	          12
          S$3.73	          13
          ฿84.58	          14
      65.380,17₫	          15
      ₩ 3,067.43	          16
        20,88 TL	          17
          80,59₴	          18
      Mex$ 55.93	          19
       CDN$ 3.59	          20
         A$ 3.68	          21
        NZ$ 3.93	          22
         ¥ 18.30	          23
        ₹ 206.66	          24
   CLP$ 1.995,03	          25
        S/.10.26	          26
   COL$ 9.667,50	          27
         R 41.28	          28
       HK$ 21.96	          29
       NT$ 79.53	          30
        10.62 SR	          31
       10.40 AED	          32
     ARS$ 239,89	          34
           ₪9.08	          35
       1 193,93₸	          37
         0.85 KD	          38
        10.30 QR	          39
       ₡1.731,93	          40
        $U119,98	          41
           $2.82	          42
           $2.82	          43
           $2.82	          44
